seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
700062,Defender,Medium,64,86,83,94,20,39,64,574,2,0,49,50,70,False,50,50,15699,0,1,20,40,10,38,100,0,100,50,50,34,26,48,63
700063,Defender,High,64,88,86,93,20,39,62,574,1,0,49,50,70,False,50,50,15631,0,1,20,20,5,38,100,0,100,50,50,26,23,45,59
700056,Forward,Low,62,83,81,94,20,39,170,571,3,0,48,50,70,False,50,50,16664,0,1,20,60,15,38,100,0,100,50,50,42,29,50,66
700057,Forward,Medium,64,87,85,93,20,39,182,567,3,0,48,50,70,False,50,50,16419,0,1,20,60,15,38,100,0,100,50,50,42,29,50,66
700058,Forward,High,64,91,89,93,20,39,208,571,2,0,48,50,70,False,50,50,14671,0,1,20,40,10,36,100,0,100,50,50,34,26,47,63
700059,Midfielder,Low,64,81,77,93,20,39,37,570,0,0,48,50,70,False,50,50,14409,0,1,20,0,0,36,100,0,100,50,50,18,20,41,56
700068,Midfielder,Medium,64,89,82,96,20,39,28,559,0,0,49,50,70,False,50,50,12356,0,1,20,0,0,35,100,0,100,50,50,18,20,41,56
700069,Midfielder,High,64,90,88,93,20,39,29,560,1,0,49,50,70,False,50,50,12076,0,1,20,20,5,35,100,0,100,50,50,26,23,44,59
700070,Defender,Low,64,80,74,92,20,39,48,557,3,0,51,50,70,False,50,50,14001,0,1,20,60,15,38,100,0,100,50,50,42,29,50,66
700071,Defender,Medium,64,85,82,93,20,39,51,556,2,0,51,50,70,False,50,50,13925,0,1,20,40,10,38,100,0,100,50,50,34,26,48,63
700064,Defender,High,64,90,87,94,20,39,56,557,1,0,47,50,70,False,50,50,11102,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700065,Forward,Low,64,84,82,96,20,39,146,556,1,0,48,50,70,False,50,50,11041,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700066,Forward,Medium,63,90,88,97,20,39,173,562,3,0,48,50,70,False,50,50,11779,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
700067,Forward,High,64,90,88,93,20,39,179,563,2,0,49,50,70,False,50,50,11869,0,1,20,40,10,35,100,0,100,50,50,34,26,47,63
700076,Midfielder,Low,64,78,73,89,20,39,22,559,3,0,49,50,70,False,50,50,12145,0,1,20,60,15,35,100,0,100,50,50,41,29,49,66
700077,Midfielder,Medium,64,87,85,94,20,39,32,558,1,0,49,50,70,False,50,50,11768,0,1,20,20,5,35,100,0,100,50,50,26,23,44,59
700078,Midfielder,High,64,90,88,93,20,39,28,550,4,0,50,50,70,False,50,50,10998,0,1,20,80,20,34,100,0,100,50,50,49,32,52,69
700079,Defender,Low,64,84,81,97,20,39,52,553,3,0,50,50,70,False,50,50,11143,0,1,20,60,15,35,100,0,100,50,50,41,29,49,66
700072,Defender,Medium,64,88,84,96,20,39,45,544,4,0,48,50,70,False,50,50,9918,0,1,20,80,20,33,100,0,100,50,50,49,31,51,69
700073,Defender,High,64,92,90,97,20,39,69,544,3,0,48,50,70,False,50,50,9992,0,1,20,60,15,33,100,0,100,50,50,41,28,48,66
700074,Forward,Low,64,84,82,95,20,39,164,552,1,0,47,50,70,False,50,50,11331,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700075,Forward,Medium,64,87,85,93,20,39,187,552,3,0,48,50,70,False,50,50,11463,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
700084,Forward,High,64,90,88,92,20,39,192,556,3,0,50,50,70,False,50,50,13977,0,1,20,60,15,37,100,0,100,50,50,41,29,50,66
700085,Midfielder,Low,64,80,78,92,20,39,26,556,5,0,50,50,70,False,50,50,13935,0,1,20,100,25,37,100,0,100,50,50,57,35,56,73
700086,Midfielder,Medium,64,86,84,93,20,39,30,559,3,0,50,50,70,False,50,50,12787,0,1,20,60,15,36,100,0,100,50,50,41,29,50,66
700087,Midfielder,High,64,92,90,95,20,39,32,559,6,0,50,50,70,False,50,50,12779,0,1,20,100,30,36,100,0,100,50,50,58,36,56,74
700080,Defender,Low,64,81,77,94,20,39,47,555,4,0,48,50,70,False,50,50,12867,0,1,20,80,20,35,100,0,100,50,50,49,32,52,70
700081,Defender,Medium,64,85,82,93,20,39,55,554,1,0,48,50,70,False,50,50,12745,0,1,20,20,5,35,100,0,100,50,50,26,23,44,59
700082,Defender,High,64,91,88,95,20,39,69,550,3,0,48,50,70,False,50,50,11032,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
700083,Forward,Low,64,83,81,95,20,39,161,550,2,0,48,50,70,False,50,50,10950,0,1,20,40,10,33,100,0,100,50,50,33,25,46,62
700092,Forward,Medium,64,87,85,93,20,39,192,548,2,0,49,50,70,False,50,50,11280,0,1,20,40,10,34,100,0,100,50,50,33,26,46,62
700093,Forward,High,64,91,90,94,20,39,180,550,1,0,49,50,70,False,50,50,11305,0,1,20,20,5,34,100,0,100,50,50,26,23,43,59
700094,Midfielder,Low,64,81,78,93,20,39,17,561,2,0,50,50,70,False,50,50,14018,0,1,20,40,10,37,100,0,100,50,50,34,26,47,63
700095,Midfielder,Medium,64,86,83,93,20,39,33,561,1,0,50,50,70,False,50,50,14377,0,1,20,20,5,37,100,0,100,50,50,26,23,45,59
700088,Midfielder,High,64,91,89,94,20,39,31,549,2,0,47,50,70,False,50,50,10719,0,1,20,40,10,33,100,0,100,50,50,33,25,46,62
700089,Defender,Low,64,80,77,93,20,39,53,549,0,0,47,50,70,False,50,50,10811,0,1,20,0,0,33,100,0,100,50,50,18,19,40,55
700090,Defender,Medium,64,85,82,93,20,39,44,555,2,0,48,50,70,False,50,50,12345,0,1,20,40,10,35,100,0,100,50,50,34,26,47,63
700091,Defender,High,64,90,87,94,20,39,42,554,3,0,48,50,70,False,50,50,11990,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
699972,Forward,Low,64,82,80,93,20,39,174,584,0,0,60,50,70,False,50,50,21101,0,1,20,0,0,48,100,0,100,50,50,19,22,46,57
699973,Forward,Medium,64,87,85,94,20,39,179,585,5,0,60,50,70,False,50,50,21283,0,1,20,100,25,48,100,0,100,50,50,58,37,60,74
699974,Forward,High,62,88,86,91,20,39,175,580,4,0,58,50,70,False,50,50,19962,0,1,20,80,20,46,100,0,100,50,50,50,33,56,71
699975,Midfielder,Low,64,84,82,97,20,39,29,581,3,0,58,50,70,False,50,50,20142,0,1,20,60,15,46,100,0,100,50,50,42,30,54,67
699968,Midfielder,Medium,64,87,85,94,20,39,39,596,2,0,65,52,70,False,50,50,24156,0,1,20,40,10,52,100,0,100,50,50,35,28,53,64
699969,Midfielder,High,64,89,87,93,20,39,23,597,3,0,65,52,70,False,50,50,24567,0,1,20,60,15,53,100,0,100,50,50,43,31,56,68
699970,Defender,Low,64,82,78,94,20,39,55,588,4,0,60,50,70,False,50,50,21866,0,1,20,80,20,48,100,0,100,50,50,50,34,57,71
